Distance (mm),dERR,V3,rERR3
100,0.5,5.06,0.07
105,0.5,5.07,0.07
110,0.5,5.06,0.07
115,0.5,5.05,0.07
120,0.5,5.03,0.07
125,0.5,5,0.08
130,0.5,4.95,0.08
135,0.5,4.89,0.08
140,0.5,4.82,0.08
145,0.5,4.74,0.08
150,0.5,4.65,0.07
155,0.5,4.56,0.07
160,0.5,4.43,0.07
165,0.5,4.31,0.07
170,0.5,4.12,0.06
175,0.5,4.07,0.05
180,0.5,3.93,0.05
185,0.5,3.8,0.05
190,0.5,3.68,0.04
195,0.5,3.54,0.04
200,0.5,3.43,0.03
205,0.5,3.27,0.03
210,0.5,3.15,0.03
215,0.5,3.04,0.03
220,0.5,2.93,0.03
225,0.5,2.82,0.03
230,0.5,2.7,0.03
235,0.5,2.59,0.03
240,0.5,2.49,0.03
245,0.5,2.37,0.02
250,0.5,2.27,0.02
255,0.5,2.18,0.02
260,0.5,2.09,0.03
265,0.5,2,0.03
270,0.5,1.92,0.03
275,0.5,1.84,0.03
280,0.5,1.77,0.03
285,0.5,1.7,0.04
290,0.5,1.63,0.04
295,0.5,1.56,0.04
300,0.5,1.5,0.04
305,0.5,1.42,0.04
310,0.5,1.37,0.04
315,0.5,1.31,0.04
320,0.5,1.4,0.1
325,0.5,1.21,0.04
330,0.5,1.16,0.05
335,0.5,1.12,0.05
340,0.5,1.06,0.06
345,0.5,1.02,0.06
350,0.5,0.98,0.06
