Frequency (khz),fERR,rAVG,rERR
44,0.4,1.3,0.1
45,0.4,1.5,0.1
46,0.4,1.8,0.1
47,0.4,2.2,0.1
48,0.4,2.8,0.1
49,0.4,3.6,0.1
50,0.4,4.9,0.2
51,0.4,7.2,0.3
52,0.4,11.4,0.3
53,0.4,20.6,0.7
53.1,0.4,21.6,0.6
53.2,0.4,22.7,0.4
53.3,0.4,24.1,0.6
53.4,0.4,24.7,0.6
53.5,0.4,25.4,0.2
53.6,0.4,26.1,0.3
53.7,0.4,26.5,0.2
53.8,0.4,26.6,0.1
53.9,0.4,26.5,0.2
54,0.4,26,0.4
54.1,0.4,25.4,0.4
54.2,0.4,24.2,0.4
54.3,0.4,23.5,0.5
54.4,0.4,22.3,0.6
54.5,0.4,21.4,0.5
54.6,0.4,20.7,0.4
54.7,0.4,19.6,0.5
54.8,0.4,18.8,0.4
54.9,0.4,17.8,0.5
55,0.4,16.9,0.3
56,0.4,11.7,0.2
57,0.4,9.2,0.1
58,0.4,7.7,0.1
59,0.4,6.9,0.1
60,0.4,6.3,0.1
61,0.4,6,0.1
62,0.4,5.8,0.1
63,0.4,5.7,0.1
64,0.4,5.7,0.1
65,0.4,5.8,0.1
66,0.4,5.9,0.1
67,0.4,6.2,0.1
68,0.4,6.6,0.1
69,0.4,7,0.1
70,0.4,7.8,0.1
71,0.4,8.8,0.2
72,0.4,10.4,0.2
73,0.4,12.4,0.2
74,0.4,15.1,0.2
74.1,0.4,15.3,0.3
74.2,0.4,15.6,0.3
74.3,0.4,15.8,0.2
74.4,0.4,16,0.2
74.5,0.4,16.1,0.1
74.6,0.4,16.3,0.1
74.7,0.4,16.4,0.1
74.8,0.4,16.5,0.1
74.9,0.4,16.5,0.1
75,0.4,16.6,0.1
75.1,0.4,16.6,0.1
75.2,0.4,16.5,0.1
75.3,0.4,16.4,0.1
75.4,0.4,16.2,0.1
75.5,0.4,16,0.1
75.6,0.4,15.7,0.1
75.7,0.4,15.6,0.1
75.8,0.4,15.4,0.1
75.9,0.4,15.2,0.1
76,0.4,14.9,0.1
77,0.4,11.4,0.1
78,0.4,8.7,0.1
79,0.4,6.8,0.1
80,0.4,5.6,0.1
81,0.4,4.6,0.1
82,0.4,4,0.1
83,0.4,3.5,0.1
84,0.4,3,0.1
85,0.4,2.7,0.1
86,0.4,2.5,0.1
87,0.4,2.3,0.1
88,0.4,2.2,0.1
89,0.4,2,0.1
