Distance (mm),dERR,F1,rERR1,F2,rERR2
50,0.5,53.5,0.1,74.7,0.2
55,0.5,54.2,0.1,73.1,0.2
60,0.5,54.8,0.2,71.9,0.2
65,0.5,55.3,0.2,70.9,0.1
70,0.5,55.7,0.1,69.9,0.2
75,0.5,56.1,0.2,69.1,0.2
80,0.5,56.5,0.2,68.5,0.2
85,0.5,56.8,0.2,68,0.2
90,0.5,57.2,0.2,67.5,0.2
95,0.5,57.5,0.2,66.8,0.2
100,0.5,57.8,0.2,66.4,0.1
105,0.5,58.1,0.2,66.1,0.2
110,0.5,58.3,0.1,65.7,0.1
115,0.5,58.5,0.2,65.5,0.2
120,0.5,58.8,0.2,65.1,0.1
125,0.5,59,0.2,64.8,0.2
130,0.5,59.1,0.2,64.6,0.1
135,0.5,59.3,0.2,64.3,0.2
140,0.5,59.4,0.2,64.2,0.2
145,0.5,59.6,0.1,63.9,0.2
150,0.5,59.8,0.1,63.8,0.2
155,0.5,59.9,0.1,63.7,0.2
160,0.5,60.1,0.1,63.5,0.1
165,0.5,60.2,0.2,63.3,0.2
170,0.5,60.3,0.2,63.2,0.2
175,0.5,60.4,0.1,63.1,0.2
180,0.5,60.6,0.1,62.9,0.1
185,0.5,60.7,0.2,62.8,0.1
190,0.5,60.8,0.2,62.6,0.2
195,0.5,61.1,0.2,62.5,0.1
200,0.5,61.1,0.1,62.3,0.1
