Distance (mm),dERR,F1&3,rERR1&3
50,0.5,53.5,0.1
55,0.5,54.2,0.1
60,0.5,54.8,0.2
65,0.5,55.3,0.2
70,0.5,55.7,0.1
75,0.5,56.1,0.2
80,0.5,56.5,0.2
85,0.5,56.8,0.2
90,0.5,57.2,0.2
95,0.5,57.5,0.2
100,0.5,57.8,0.2
105,0.5,58.1,0.2
110,0.5,58.3,0.1
115,0.5,58.5,0.2
120,0.5,58.8,0.2
125,0.5,59,0.2
130,0.5,59.1,0.2
135,0.5,59.3,0.2
140,0.5,59.4,0.2
145,0.5,59.6,0.1
150,0.5,59.8,0.1
155,0.5,59.9,0.1
160,0.5,60.1,0.1
165,0.5,60.2,0.2
170,0.5,60.3,0.2
175,0.5,60.4,0.1
180,0.5,60.6,0.1
185,0.5,60.7,0.2
190,0.5,60.8,0.2
195,0.5,61.1,0.2
200,0.5,61.1,0.1
205,0.5,61.3,0.2
210,0.5,61.5,0.1
215,0.5,61.6,0.1
220,0.5,61.8,0.1
225,0.5,61.9,0.1
230,0.5,61.9,0.1
235,0.5,61.9,0.1
240,0.5,61.9,0.1
245,0.5,61.9,0.1
250,0.5,61.9,0.1
255,0.5,61.9,0.1
260,0.5,61.9,0.1
265,0.5,61.9,0.1
270,0.5,61.9,0.1
275,0.5,61.9,0.1
280,0.5,61.9,0.1
285,0.5,61.9,0.2
290,0.5,61.9,0.2
295,0.5,61.9,0.2
300,0.5,61.9,0.2
305,0.5,61.9,0.2
310,0.5,61.9,0.2
315,0.5,61.9,0.2
320,0.5,61.9,0.2
325,0.5,61.9,0.2
330,0.5,61.9,0.2
335,0.5,61.9,0.2
340,0.5,61.9,0.2
345,0.5,61.8,0.1
350,0.5,61.8,0.1
