Distance (mm),dERR,V1,rERR1,V2,rERR2
50,0.5,26.3,0.4,16.5,0.1
55,0.5,26,0.4,17.2,0.2
60,0.5,25.8,0.4,17.9,0.2
65,0.5,25.6,0.5,18.4,0.2
70,0.5,25.4,0.6,18.9,0.3
75,0.5,25.2,0.6,19.3,0.3
80,0.5,25.0,0.6,19.7,0.4
85,0.5,24.8,0.6,20,0.4
90,0.5,24.7,0.6,20.3,0.4
95,0.5,24.5,0.6,20.5,0.5
100,0.5,24.4,0.6,20.8,0.5
105,0.5,24.2,0.6,20.9,0.5
110,0.5,24.1,0.6,21.2,0.5
115,0.5,23.9,0.6,21.3,0.5
120,0.5,23.8,0.6,21.5,0.6
125,0.5,23.7,0.6,21.5,0.6
130,0.5,23.6,0.6,21.7,0.6
135,0.5,23.5,0.6,21.8,0.6
140,0.5,23.4,0.7,21.9,0.6
145,0.5,23.3,0.6,22,0.6
150,0.5,23.2,0.6,22.1,0.6
155,0.5,23.1,0.7,22.1,0.6
160,0.5,23,0.6,22.2,0.6
165,0.5,22.9,0.6,22.3,0.6
170,0.5,22.8,0.6,22.3,0.6
175,0.5,22.7,0.6,22.4,0.7
180,0.5,22.6,0.6,22.4,0.7
185,0.5,22.5,0.6,22.4,0.7
190,0.5,22.4,0.6,22.3,0.7
195,0.5,22.4,0.6,22.3,0.7
200,0.5,22.3,0.6,22.3,0.7
