Distance (mm),dERR,V1&3,rERR1&3
50,0.5,26.3,0.4
55,0.5,26,0.4
60,0.5,25.8,0.4
65,0.5,25.6,0.5
70,0.5,25.4,0.6
75,0.5,25.2,0.6
80,0.5,25.0,0.6
85,0.5,24.8,0.6
90,0.5,24.7,0.6
95,0.5,24.5,0.6
100,0.5,24.4,0.6
105,0.5,24.2,0.6
110,0.5,24.1,0.6
115,0.5,23.9,0.6
120,0.5,23.8,0.6
125,0.5,23.7,0.6
130,0.5,23.6,0.6
135,0.5,23.5,0.6
140,0.5,23.4,0.7
145,0.5,23.3,0.6
150,0.5,23.2,0.6
155,0.5,23.1,0.7
160,0.5,23,0.6
165,0.5,22.9,0.6
170,0.5,22.8,0.6
175,0.5,22.7,0.6
180,0.5,22.6,0.6
185,0.5,22.5,0.6
190,0.5,22.4,0.6
195,0.5,22.4,0.6
200,0.5,22.3,0.6
205,0.5,22.2,0.7
210,0.5,22.1,0.6
215,0.5,22,0.6
220,0.5,22,0.6
225,0.5,21.8,0.6
230,0.5,21.6,0.6
235,0.5,21.4,0.6
240,0.5,21.2,0.6
245,0.5,20.8,0.6
250,0.5,20.5,0.6
255,0.5,20.2,0.6
260,0.5,19.9,0.5
265,0.5,19.5,0.5
270,0.5,19.2,0.5
275,0.5,18.8,0.5
280,0.5,18.4,0.5
285,0.5,18,0.5
290,0.5,17.5,0.5
295,0.5,17.2,0.4
300,0.5,16.8,0.4
305,0.5,16.4,0.4
310,0.5,16,0.4
315,0.5,15.6,0.3
320,0.5,15.2,0.3
325,0.5,14.9,0.3
330,0.5,14.6,0.3
335,0.5,14.2,0.3
340,0.5,13.8,0.3
345,0.5,13.4,0.2
350,0.5,13.1,0.2
